Group Name,Event Name,Date & Time,Min Ticket Price,Max Ticket Price
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-01-28T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-18T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-01-27T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-04T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-03T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-19T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-01T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-16T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-11T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-03T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-25T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-01-27T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-08T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-03T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-01-28T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-10T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-01T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-18T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-24T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-16T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-04T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-24T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-19T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-03-02T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-08T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-02T04:00:00Z,195.0,195.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-10T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-03-03T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-11T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-25T04:00:00Z,95.0,375.0
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-01-27T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-01-28T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-01T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-03T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-04T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-16T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-18T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-19T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-24T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-02-25T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-03-02T04:00:00Z,,
U2:UV Achtung,U2:UV Achtung Baby Live At Sphere - Suite Reservation,2024-03-03T04:00:00Z,,
The Sphere,The Sphere Experience with Darren Aronofsky's Postcard From Earth,2024-01-05T22:00:00Z,89.0,249.0
Phish,Phish,2024-04-19T02:30:00Z,84.0,154.0
Phish,Phish,2024-04-21T02:30:00Z,84.0,154.0
Phish,Phish,2024-04-20T02:30:00Z,84.0,154.0
Phish,Phish,2024-04-22T02:30:00Z,84.0,154.0
Dead&Co,Dead&Co,2024-05-16T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-17T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-18T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-24T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-25T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-26T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-30T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-05-31T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-06-01T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-06-06T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-06-07T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-06-08T06:30:00Z,200.0,400.0
Dead&Co,Dead&Co,2024-06-13T06:30:00Z,200.0,400.0
